"REF_DATE","GEO","Seasonal adjustment","Prices","North American Industry Classification System (NAICS)","UOM","SCALAR_FACTOR","VALUE"
"2018-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1977005
"2018-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1972178
"2018-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1971435
"2019-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1972347
"2019-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1966654
"2019-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1980079
"2019-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1993428
"2019-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1999764
"2019-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2004276
"2019-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2003146
"2019-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2004013
"2019-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2005880
"2019-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2009643
"2019-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2008667
"2019-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2013030
"2020-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2017340
"2020-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2022277
"2020-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1875066
"2020-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1676610
"2020-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1748014
"2020-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1846518
"2020-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1893896
"2020-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1910057
"2020-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1927305
"2020-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1938166
"2020-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1952250
"2020-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1958748
"2021-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1963025
"2021-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1969980
"2021-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1988720
"2021-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1971706
"2021-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1961048
"2021-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1977790
"2021-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1986493
"2021-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1998532
"2021-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2009220
"2021-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2019060
"2021-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2028221
"2021-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2029942
"2022-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2025698
"2022-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2040382
"2022-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2053820
"2022-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2056268
"2022-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2062316
"2022-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2068003
"2022-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2071282
"2022-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2076623
"2022-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2078250
"2022-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2078806
"2022-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2080454
"2022-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2078596
"2023-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2091122
"2023-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2092396
"2023-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2094233
"2023-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2092622
"2023-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2095744
"2023-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2091606
"2023-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2093784
"2023-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",2093816
